,VR,AR
Spatial Presence,6,6
Spatial Presence,5,6
Spatial Presence,4,5
Spatial Presence,6,5
Spatial Presence,4,7
Spatial Presence,4,5
Spatial Presence,5,5
Spatial Presence,4,5
Spatial Presence,4,5
Spatial Presence,4,4
Spatial Presence,5,4
Spatial Presence,4,6
Spatial Presence,3,4
Spatial Presence,7,7
Spatial Presence,5,7
Spatial Presence,5,4
Spatial Presence,3,4
Spatial Presence,5,7
Spatial Presence,3,3
Spatial Presence,4,7
Spatial Presence,5,7
Spatial Presence,4,4
Spatial Presence,3,5
Spatial Presence,4,4
Spatial Presence,7,5
Spatial Presence,5,3
Spatial Presence,5,5
Spatial Presence,4,7
Spatial Presence,5,3
Spatial Presence,4,5
Spatial Presence,6,3
Spatial Presence,2,6
Spatial Presence,5,3
Spatial Presence,4,7
Spatial Presence,4,6
Spatial Presence,3,6
Spatial Presence,4,5
Spatial Presence,7,6
Spatial Presence,6,5
Spatial Presence,7,7
Spatial Presence,7,4
Spatial Presence,5,5
Spatial Presence,4,6
Spatial Presence,4,4
Spatial Presence,2,4
Spatial Presence,3,6
Spatial Presence,7,3
Spatial Presence,3,6
Spatial Presence,2,3
Spatial Presence,4,5
Spatial Presence,3,4
Spatial Presence,3,4
Spatial Presence,4,3
Spatial Presence,4,4
Spatial Presence,3,3
Spatial Presence,6,5
Spatial Presence,2,5
Spatial Presence,4,4
Spatial Presence,3,7
Spatial Presence,3,5
Spatial Presence,3,4
Spatial Presence,7,4
Spatial Presence,7,6
Spatial Presence,2,6
Spatial Presence,3,3
Spatial Presence,2,3
Spatial Presence,7,5
Spatial Presence,7,5
Spatial Presence,6,5
Spatial Presence,7,4
Spatial Presence,6,4
Spatial Presence,7,3
Spatial Presence,2,5
Spatial Presence,7,3
Spatial Presence,5,5
Spatial Presence,3,5
Spatial Presence,3,5
Spatial Presence,6,6
Spatial Presence,7,5
Spatial Presence,6,6
Spatial Presence,3,3
Spatial Presence,6,3
Spatial Presence,4,4
Spatial Presence,6,6
Spatial Presence,6,4
Spatial Presence,7,6
Spatial Presence,7,4
Spatial Presence,5,3
Spatial Presence,3,4
Spatial Presence,6,3
Spatial Presence,3,6
Spatial Presence,2,4
Spatial Presence,6,4
Spatial Presence,3,5
Spatial Presence,7,6
Spatial Presence,4,6
Spatial Presence,6,6
Spatial Presence,3,4
Spatial Presence,3,5
Spatial Presence,3,5
Spatial Presence,3,3
Spatial Presence,6,6
Spatial Presence,6,3
Spatial Presence,3,6
Spatial Presence,7,3
Spatial Presence,5,5
Spatial Presence,2,3
Spatial Presence,6,5
Spatial Presence,6,3
Spatial Presence,5,6
Spatial Presence,2,4
Spatial Presence,2,5
Spatial Presence,2,6
Spatial Presence,7,6
Spatial Presence,6,3
Spatial Presence,7,3
Spatial Presence,2,5
Spatial Presence,7,3
Spatial Presence,7,6
Spatial Presence,5,5
Spatial Presence,4,4
Spatial Presence,4,6
Spatial Presence,2,5
Spatial Presence,6,4
Spatial Presence,5,4
Spatial Presence,2,3
Spatial Presence,6,3
Spatial Presence,6,5
Spatial Presence,3,6
Spatial Presence,2,3
Spatial Presence,4,4
Spatial Presence,7,3
Spatial Presence,2,5
Spatial Presence,5,5
Spatial Presence,6,3
Spatial Presence,4,3
Spatial Presence,4,4
Spatial Presence,3,5
Spatial Presence,3,3
Spatial Presence,3,4
Spatial Presence,7,5
Spatial Presence,5,5
Spatial Presence,2,6
Spatial Presence,6,3
Spatial Presence,5,3
Spatial Presence,7,4
Spatial Presence,3,6
Spatial Presence,6,6
Spatial Presence,6,4
Spatial Presence,7,4
Spatial Presence,2,3
Spatial Presence,3,3
Spatial Presence,3,6
Spatial Presence,4,4
Spatial Presence,5,5
Spatial Presence,7,6
Spatial Presence,3,4
Spatial Presence,7,4
Spatial Presence,6,5
Spatial Presence,4,3
Spatial Presence,7,3
Spatial Presence,4,5
Spatial Presence,5,6
Spatial Presence,2,5
Spatial Presence,7,6
Spatial Presence,7,3
Spatial Presence,7,3
Spatial Presence,6,6
Spatial Presence,3,5
Spatial Presence,4,4
Spatial Presence,5,5
Spatial Presence,6,3
Spatial Presence,5,5
Spatial Presence,3,4
Spatial Presence,4,5
Spatial Presence,4,4
Spatial Presence,3,5
Spatial Presence,4,4
Spatial Presence,5,4
Spatial Presence,2,6
Spatial Presence,3,5
Spatial Presence,2,3
Spatial Presence,7,3
Spatial Presence,3,4
Spatial Presence,6,6
Spatial Presence,6,4
Spatial Presence,4,4
Spatial Presence,5,4
Spatial Presence,3,4
Spatial Presence,4,4
Spatial Presence,7,4
Spatial Presence,5,5
Spatial Presence,6,6
Spatial Presence,7,6
Spatial Presence,6,3
Spatial Presence,3,6
Spatial Presence,2,6
Spatial Presence,4,5
Spatial Presence,5,4
Spatial Presence,3,3
Spatial Presence,4,4
Spatial Presence,6,5
Spatial Presence,5,6
Spatial Presence,3,4
Spatial Presence,5,4
Spatial Presence,2,5
Spatial Presence,5,4
Spatial Presence,7,4
Spatial Presence,7,3
Spatial Presence,4,4
Spatial Presence,4,3
Spatial Presence,7,6
Spatial Presence,6,5
Spatial Presence,4,6
Spatial Presence,5,3
Spatial Presence,5,6
