item,Q1. The system made it easier to complete my collaborative task,Q2. I found the system's features were straightforward to understand.,Q3. It found the system has steep learning curve.,Q4. I found the most of the features confusing.
VR,5,5,1,1
VR,4,4,1,2
VR,4,4,3,2
VR,4,4,2,2
VR,5,5,1,2
VR,5,4,4,3
VR,3,4,2,3
VR,2,4,2,1
VR,5,4,3,2
VR,2,3,4,5
VR,4,3,4,3
VR,4,3,2,2
VR,4,4,2,3
VR,3,4,2,2
VR,5,3,1,1
VR,4,4,1,1
VR,3,3,2,2
VR,5,4,2,2
VR,3,4,3,2
VR,2,5,2,1
VR,5,4,2,2
VR,4,5,1,1
VR,4,5,1,1
VR,3,5,5,4
AR,4,4,1,2
AR,5,4,5,4
AR,5,4,1,2
AR,4,5,5,5
AR,5,4,1,2
AR,5,3,1,2
AR,5,4,1,1
AR,4,3,1,3
AR,3,5,2,2
AR,5,4,2,3
AR,3,3,1,1
AR,4,5,3,2
AR,3,4,1,3
AR,3,2,5,2
AR,5,3,4,3
AR,3,3,1,3
AR,4,4,2,1
AR,3,4,1,3
AR,4,2,5,4
AR,4,3,2,1
AR,5,4,2,3
AR,3,3,2,1
AR,3,4,1,1
AR,5,4,2,1
