qus,ans,device
Q1,7,PC
Q2,7,PC
Q3,7,PC
Q4,7,PC
Q5,5,PC
Q10,6,PC
Q1,6,PC
Q2,3,PC
Q3,6,PC
Q4,6,PC
Q5,6,PC
Q10,3,PC
Q1,6,PC
Q2,3,PC
Q3,7,PC
Q4,6,PC
Q5,6,PC
Q10,5,PC
Q1,3,PC
Q2,5,PC
Q3,7,PC
Q4,6,PC
Q5,5,PC
Q10,5,PC
Q1,5,PC
Q2,6,PC
Q3,6,PC
Q4,6,PC
Q5,6,PC
Q10,7,PC
Q1,4,PC
Q2,3,PC
Q3,5,PC
Q4,4,PC
Q5,4,PC
Q10,4,PC
Q1,6,PC
Q2,5,PC
Q3,6,PC
Q4,6,PC
Q5,5,PC
Q10,6,PC
Q1,6,PC
Q2,6,PC
Q3,4,PC
Q4,4,PC
Q5,5,PC
Q10,4,PC
Q1,7,PC
Q2,4,PC
Q3,7,PC
Q4,4,PC
Q5,5,PC
Q10,6,PC
Q1,7,PC
Q2,7,PC
Q3,7,PC
Q4,7,PC
Q5,6,PC
Q10,3,PC
Q1,7,PC
Q2,6,PC
Q3,7,PC
Q4,5,PC
Q5,6,PC
Q10,7,PC
Q1,5,PC
Q2,7,PC
Q3,6,PC
Q4,7,PC
Q5,5,PC
Q10,4,PC
Q1,6,PC
Q2,5,PC
Q3,5,PC
Q4,5,PC
Q5,4,PC
Q10,6,PC
Q1,5,PC
Q2,7,PC
Q3,7,PC
Q4,7,PC
Q5,5,PC
Q10,6,PC
Q1,5,PC
Q2,6,PC
Q3,7,PC
Q4,4,PC
Q5,7,PC
Q10,7,PC
Q1,4,PC
Q2,5,PC
Q3,5,PC
Q4,3,PC
Q5,5,PC
Q10,6,PC
Q1,4,PC
Q2,5,PC
Q3,6,PC
Q4,4,PC
Q5,4,PC
Q10,7,PC
Q1,7,PC
Q2,6,PC
Q3,6,PC
Q4,4,PC
Q5,5,PC
Q10,3,PC
Q1,5,PC
Q2,5,PC
Q3,5,PC
Q4,3,PC
Q5,6,PC
Q10,5,PC
Q1,7,PC
Q2,4,PC
Q3,5,PC
Q4,6,PC
Q5,6,PC
Q10,5,PC
Q1,4,PC
Q2,6,PC
Q3,6,PC
Q4,6,PC
Q5,6,PC
Q10,5,PC
Q1,6,PC
Q2,4,PC
Q3,6,PC
Q4,4,PC
Q5,6,PC
Q10,5,PC
Q1,4,PC
Q2,7,PC
Q3,7,PC
Q4,5,PC
Q5,5,PC
Q10,7,PC
Q1,6,PC
Q2,7,PC
Q3,6,PC
Q4,6,PC
Q5,5,PC
Q10,7,PC
Q1,6,Mobile
Q2,7,Mobile
Q3,4,Mobile
Q4,6,Mobile
Q5,5,Mobile
Q10,4,Mobile
Q1,4,Mobile
Q2,7,Mobile
Q3,4,Mobile
Q4,5,Mobile
Q5,5,Mobile
Q10,5,Mobile
Q1,3,Mobile
Q2,5,Mobile
Q3,5,Mobile
Q4,5,Mobile
Q5,3,Mobile
Q10,7,Mobile
Q1,4,Mobile
Q2,7,Mobile
Q3,5,Mobile
Q4,3,Mobile
Q5,7,Mobile
Q10,6,Mobile
Q1,3,Mobile
Q2,5,Mobile
Q3,4,Mobile
Q4,7,Mobile
Q5,6,Mobile
Q10,6,Mobile
Q1,5,Mobile
Q2,3,Mobile
Q3,3,Mobile
Q4,6,Mobile
Q5,6,Mobile
Q10,7,Mobile
Q1,4,Mobile
Q2,5,Mobile
Q3,6,Mobile
Q4,7,Mobile
Q5,7,Mobile
Q10,5,Mobile
Q1,6,Mobile
Q2,5,Mobile
Q3,4,Mobile
Q4,3,Mobile
Q5,7,Mobile
Q10,7,Mobile
Q1,7,Mobile
Q2,7,Mobile
Q3,7,Mobile
Q4,6,Mobile
Q5,5,Mobile
Q10,5,Mobile
Q1,7,Mobile
Q2,7,Mobile
Q3,6,Mobile
Q4,5,Mobile
Q5,6,Mobile
Q10,6,Mobile
Q1,3,Mobile
Q2,4,Mobile
Q3,5,Mobile
Q4,5,Mobile
Q5,3,Mobile
Q10,5,Mobile
Q1,4,Mobile
Q2,4,Mobile
Q3,4,Mobile
Q4,3,Mobile
Q5,4,Mobile
Q10,4,Mobile
Q1,6,Mobile
Q2,5,Mobile
Q3,4,Mobile
Q4,6,Mobile
Q5,7,Mobile
Q10,7,Mobile
Q1,5,Mobile
Q2,4,Mobile
Q3,7,Mobile
Q4,4,Mobile
Q5,7,Mobile
Q10,5,Mobile
Q1,4,Mobile
Q2,7,Mobile
Q3,5,Mobile
Q4,3,Mobile
Q5,5,Mobile
Q10,4,Mobile
Q1,4,Mobile
Q2,4,Mobile
Q3,5,Mobile
Q4,6,Mobile
Q5,7,Mobile
Q10,7,Mobile
Q1,4,Mobile
Q2,6,Mobile
Q3,4,Mobile
Q4,5,Mobile
Q5,3,Mobile
Q10,7,Mobile
Q1,4,Mobile
Q2,7,Mobile
Q3,6,Mobile
Q4,4,Mobile
Q5,5,Mobile
Q10,4,Mobile
Q1,4,Mobile
Q2,7,Mobile
Q3,5,Mobile
Q4,6,Mobile
Q5,4,Mobile
Q10,3,Mobile
Q1,5,Mobile
Q2,7,Mobile
Q3,6,Mobile
Q4,7,Mobile
Q5,3,Mobile
Q10,6,Mobile
Q1,4,Mobile
Q2,7,Mobile
Q3,7,Mobile
Q4,4,Mobile
Q5,7,Mobile
Q10,4,Mobile
Q1,6,Mobile
Q2,6,Mobile
Q3,4,Mobile
Q4,4,Mobile
Q5,7,Mobile
Q10,5,Mobile
Q1,4,Mobile
Q2,6,Mobile
Q3,6,Mobile
Q4,5,Mobile
Q5,5,Mobile
Q10,5,Mobile
Q1,6,Mobile
Q2,3,Mobile
Q3,5,Mobile
Q4,5,Mobile
Q5,3,Mobile
Q10,3,Mobile
