queston_type,score,cat
GP,6,PC
GP,7,PC
GP,4,PC
GP,4,PC
GP,5,PC
GP,5,PC
GP,7,PC
GP,4,PC
GP,3,PC
GP,6,PC
GP,6,PC
GP,6,PC
GP,7,PC
GP,7,PC
GP,4,PC
GP,4,PC
GP,7,PC
GP,7,PC
GP,6,PC
GP,5,PC
GP,4,PC
GP,6,PC
GP,5,PC
GP,6,PC
GP,4,PC
GP,4,PC
GP,3,PC
GP,7,PC
GP,6,PC
GP,4,PC
GP,7,PC
GP,7,PC
GP,4,PC
GP,3,PC
GP,3,PC
GP,5,PC
INV,3,PC
INV,6,PC
INV,3,PC
INV,5,PC
INV,7,PC
INV,4,PC
INV,6,PC
INV,6,PC
INV,6,PC
INV,4,PC
INV,3,PC
INV,5,PC
INV,7,PC
INV,7,PC
INV,4,PC
INV,4,PC
INV,5,PC
INV,6,PC
INV,4,PC
INV,6,PC
INV,3,PC
INV,6,PC
INV,7,PC
INV,4,PC
INV,3,PC
INV,4,PC
INV,4,PC
INV,4,PC
INV,6,PC
INV,7,PC
INV,4,PC
INV,5,PC
INV,3,PC
INV,4,PC
INV,6,PC
INV,7,PC
INV,7,PC
INV,3,PC
INV,7,PC
INV,4,PC
INV,6,PC
INV,3,PC
INV,7,PC
INV,6,PC
INV,7,PC
INV,4,PC
INV,3,PC
INV,4,PC
INV,4,PC
INV,7,PC
INV,4,PC
INV,4,PC
INV,6,PC
INV,3,PC
INV,3,PC
INV,6,PC
INV,7,PC
INV,7,PC
INV,7,PC
INV,6,PC
INV,4,PC
INV,3,PC
INV,6,PC
INV,5,PC
INV,3,PC
INV,7,PC
INV,5,PC
INV,7,PC
INV,3,PC
INV,5,PC
INV,7,PC
INV,7,PC
RL,3,PC
RL,4,PC
RL,6,PC
RL,3,PC
RL,7,PC
RL,7,PC
RL,7,PC
RL,3,PC
RL,5,PC
RL,5,PC
RL,7,PC
RL,4,PC
RL,6,PC
RL,6,PC
RL,4,PC
RL,5,PC
RL,3,PC
RL,3,PC
RL,4,PC
RL,5,PC
RL,4,PC
RL,4,PC
RL,5,PC
RL,7,PC
RL,7,PC
RL,5,PC
RL,6,PC
RL,6,PC
RL,3,PC
RL,7,PC
RL,6,PC
RL,7,PC
RL,5,PC
RL,5,PC
RL,4,PC
RL,4,PC
RL,6,PC
RL,3,PC
RL,3,PC
RL,3,PC
RL,5,PC
RL,6,PC
RL,3,PC
RL,4,PC
RL,4,PC
RL,5,PC
RL,5,PC
RL,3,PC
RL,7,PC
RL,3,PC
RL,3,PC
RL,3,PC
RL,3,PC
RL,5,PC
RL,7,PC
RL,7,PC
RL,6,PC
RL,7,PC
RL,3,PC
RL,4,PC
RL,6,PC
RL,3,PC
RL,5,PC
RL,6,PC
RL,5,PC
RL,4,PC
RL,5,PC
RL,6,PC
RL,4,PC
RL,3,PC
RL,7,PC
RL,5,PC
SP,6,PC
SP,5,PC
SP,4,PC
SP,6,PC
SP,4,PC
SP,4,PC
SP,5,PC
SP,4,PC
SP,4,PC
SP,4,PC
SP,5,PC
SP,4,PC
SP,3,PC
SP,7,PC
SP,5,PC
SP,5,PC
SP,3,PC
SP,5,PC
SP,3,PC
SP,4,PC
SP,5,PC
SP,4,PC
SP,3,PC
SP,4,PC
SP,7,PC
SP,5,PC
SP,5,PC
SP,4,PC
SP,5,PC
SP,4,PC
SP,6,PC
SP,2,PC
SP,5,PC
SP,4,PC
SP,4,PC
SP,3,PC
SP,4,PC
SP,7,PC
SP,6,PC
SP,7,PC
SP,7,PC
SP,5,PC
SP,4,PC
SP,4,PC
SP,2,PC
SP,3,PC
SP,7,PC
SP,3,PC
SP,2,PC
SP,4,PC
SP,3,PC
SP,3,PC
SP,4,PC
SP,4,PC
SP,3,PC
SP,6,PC
SP,2,PC
SP,4,PC
SP,3,PC
SP,3,PC
SP,3,PC
SP,7,PC
SP,7,PC
SP,2,PC
SP,3,PC
SP,2,PC
SP,7,PC
SP,7,PC
SP,6,PC
SP,7,PC
SP,6,PC
SP,7,PC
SP,2,PC
SP,7,PC
SP,5,PC
SP,3,PC
SP,3,PC
SP,6,PC
SP,7,PC
SP,6,PC
SP,3,PC
SP,6,PC
SP,4,PC
SP,6,PC
SP,6,PC
SP,7,PC
SP,7,PC
SP,5,PC
SP,3,PC
SP,6,PC
SP,3,PC
SP,2,PC
SP,6,PC
SP,3,PC
SP,7,PC
SP,4,PC
SP,6,PC
SP,3,PC
SP,3,PC
SP,3,PC
SP,3,PC
SP,6,PC
SP,6,PC
SP,3,PC
SP,7,PC
SP,5,PC
SP,2,PC
SP,6,PC
SP,6,PC
SP,5,PC
SP,2,PC
SP,2,PC
SP,2,PC
SP,7,PC
SP,6,PC
SP,7,PC
SP,2,PC
SP,7,PC
SP,7,PC
SP,5,PC
SP,4,PC
SP,4,PC
SP,2,PC
SP,6,PC
SP,5,PC
SP,2,PC
SP,6,PC
SP,6,PC
SP,3,PC
SP,2,PC
SP,4,PC
SP,7,PC
SP,2,PC
SP,5,PC
SP,6,PC
SP,4,PC
SP,4,PC
SP,3,PC
SP,3,PC
SP,3,PC
SP,7,PC
SP,5,PC
SP,2,PC
SP,6,PC
SP,5,PC
SP,7,PC
SP,3,PC
SP,6,PC
SP,6,PC
SP,7,PC
SP,2,PC
SP,3,PC
SP,3,PC
SP,4,PC
SP,5,PC
SP,7,PC
SP,3,PC
SP,7,PC
SP,6,PC
SP,4,PC
SP,7,PC
SP,4,PC
SP,5,PC
SP,2,PC
SP,7,PC
SP,7,PC
SP,7,PC
SP,6,PC
SP,3,PC
SP,4,PC
SP,5,PC
SP,6,PC
SP,5,PC
SP,3,PC
SP,4,PC
SP,4,PC
SP,3,PC
SP,4,PC
SP,5,PC
SP,2,PC
SP,3,PC
SP,2,PC
SP,7,PC
SP,3,PC
SP,6,PC
SP,6,PC
SP,4,PC
SP,5,PC
SP,3,PC
SP,4,PC
SP,7,PC
SP,5,PC
SP,6,PC
SP,7,PC
SP,6,PC
SP,3,PC
SP,2,PC
SP,4,PC
SP,5,PC
SP,3,PC
SP,4,PC
SP,6,PC
SP,5,PC
SP,3,PC
SP,5,PC
SP,2,PC
SP,5,PC
SP,7,PC
SP,7,PC
SP,4,PC
SP,4,PC
SP,7,PC
SP,6,PC
SP,4,PC
SP,5,PC
SP,5,PC
GP,5,Mobile
GP,7,Mobile
GP,5,Mobile
GP,7,Mobile
GP,7,Mobile
GP,4,Mobile
GP,5,Mobile
GP,6,Mobile
GP,6,Mobile
GP,4,Mobile
GP,4,Mobile
GP,7,Mobile
GP,6,Mobile
GP,6,Mobile
GP,7,Mobile
GP,6,Mobile
GP,4,Mobile
GP,5,Mobile
GP,7,Mobile
GP,5,Mobile
GP,3,Mobile
GP,6,Mobile
GP,5,Mobile
GP,5,Mobile
GP,6,Mobile
GP,4,Mobile
GP,4,Mobile
GP,6,Mobile
GP,3,Mobile
GP,5,Mobile
GP,7,Mobile
GP,5,Mobile
GP,4,Mobile
GP,5,Mobile
GP,7,Mobile
GP,6,Mobile
INV,3,Mobile
INV,6,Mobile
INV,6,Mobile
INV,6,Mobile
INV,5,Mobile
INV,5,Mobile
INV,4,Mobile
INV,3,Mobile
INV,5,Mobile
INV,3,Mobile
INV,7,Mobile
INV,7,Mobile
INV,7,Mobile
INV,3,Mobile
INV,7,Mobile
INV,4,Mobile
INV,3,Mobile
INV,5,Mobile
INV,6,Mobile
INV,5,Mobile
INV,4,Mobile
INV,5,Mobile
INV,4,Mobile
INV,7,Mobile
INV,6,Mobile
INV,7,Mobile
INV,4,Mobile
INV,7,Mobile
INV,6,Mobile
INV,5,Mobile
INV,4,Mobile
INV,4,Mobile
INV,4,Mobile
INV,6,Mobile
INV,7,Mobile
INV,3,Mobile
INV,6,Mobile
INV,5,Mobile
INV,4,Mobile
INV,7,Mobile
INV,4,Mobile
INV,7,Mobile
INV,4,Mobile
INV,5,Mobile
INV,4,Mobile
INV,4,Mobile
INV,5,Mobile
INV,4,Mobile
INV,3,Mobile
INV,6,Mobile
INV,7,Mobile
INV,5,Mobile
INV,6,Mobile
INV,7,Mobile
INV,4,Mobile
INV,6,Mobile
INV,3,Mobile
INV,4,Mobile
INV,6,Mobile
INV,4,Mobile
INV,4,Mobile
INV,7,Mobile
INV,4,Mobile
INV,4,Mobile
INV,7,Mobile
INV,7,Mobile
INV,5,Mobile
INV,5,Mobile
INV,7,Mobile
INV,3,Mobile
INV,6,Mobile
INV,4,Mobile
RL,6,Mobile
RL,4,Mobile
RL,4,Mobile
RL,6,Mobile
RL,7,Mobile
RL,4,Mobile
RL,4,Mobile
RL,6,Mobile
RL,7,Mobile
RL,3,Mobile
RL,5,Mobile
RL,3,Mobile
RL,3,Mobile
RL,4,Mobile
RL,5,Mobile
RL,6,Mobile
RL,7,Mobile
RL,5,Mobile
RL,4,Mobile
RL,5,Mobile
RL,4,Mobile
RL,5,Mobile
RL,6,Mobile
RL,4,Mobile
RL,6,Mobile
RL,6,Mobile
RL,4,Mobile
RL,5,Mobile
RL,4,Mobile
RL,3,Mobile
RL,4,Mobile
RL,4,Mobile
RL,4,Mobile
RL,3,Mobile
RL,4,Mobile
RL,5,Mobile
RL,4,Mobile
RL,7,Mobile
RL,6,Mobile
RL,4,Mobile
RL,5,Mobile
RL,6,Mobile
RL,4,Mobile
RL,4,Mobile
RL,7,Mobile
RL,4,Mobile
RL,4,Mobile
RL,3,Mobile
RL,5,Mobile
RL,4,Mobile
RL,3,Mobile
RL,3,Mobile
RL,7,Mobile
RL,3,Mobile
RL,5,Mobile
RL,3,Mobile
RL,7,Mobile
RL,4,Mobile
RL,4,Mobile
RL,4,Mobile
RL,5,Mobile
RL,3,Mobile
RL,4,Mobile
RL,7,Mobile
RL,7,Mobile
RL,7,Mobile
RL,3,Mobile
RL,3,Mobile
RL,5,Mobile
RL,4,Mobile
RL,3,Mobile
RL,4,Mobile
SP,6,Mobile
SP,6,Mobile
SP,5,Mobile
SP,5,Mobile
SP,7,Mobile
SP,5,Mobile
SP,5,Mobile
SP,5,Mobile
SP,5,Mobile
SP,4,Mobile
SP,4,Mobile
