,VR,AR
General Presence,6,5
General Presence,7,7
General Presence,4,5
General Presence,4,7
General Presence,5,7
General Presence,5,4
General Presence,7,5
General Presence,4,6
General Presence,3,6
General Presence,6,4
General Presence,6,4
General Presence,6,7
General Presence,7,6
General Presence,7,6
General Presence,4,7
General Presence,4,6
General Presence,7,4
General Presence,7,5
General Presence,6,7
General Presence,5,5
General Presence,4,3
General Presence,6,6
General Presence,5,5
General Presence,6,5
General Presence,4,6
General Presence,4,4
General Presence,3,4
General Presence,7,6
General Presence,6,3
General Presence,4,5
General Presence,7,7
General Presence,7,5
General Presence,4,4
General Presence,3,5
General Presence,3,7
General Presence,5,6
