,VR,AR
Realness,3,6
Realness,4,4
Realness,6,4
Realness,3,6
Realness,7,7
Realness,7,4
Realness,7,4
Realness,3,6
Realness,5,7
Realness,5,3
Realness,7,5
Realness,4,3
Realness,6,3
Realness,6,4
Realness,4,5
Realness,5,6
Realness,3,7
Realness,3,5
Realness,4,4
Realness,5,5
Realness,4,4
Realness,4,5
Realness,5,6
Realness,7,4
Realness,7,6
Realness,5,6
Realness,6,4
Realness,6,5
Realness,3,4
Realness,7,3
Realness,6,4
Realness,7,4
Realness,5,4
Realness,5,3
Realness,4,4
Realness,4,5
Realness,6,4
Realness,3,7
Realness,3,6
Realness,3,4
Realness,5,5
Realness,6,6
Realness,3,4
Realness,4,4
Realness,4,7
Realness,5,4
Realness,5,4
Realness,3,3
Realness,7,5
Realness,3,4
Realness,3,3
Realness,3,3
Realness,3,7
Realness,5,3
Realness,7,5
Realness,7,3
Realness,6,7
Realness,7,4
Realness,3,4
Realness,4,4
Realness,6,5
Realness,3,3
Realness,5,4
Realness,6,7
Realness,5,7
Realness,4,7
Realness,5,3
Realness,6,3
Realness,4,5
Realness,3,4
Realness,7,3
Realness,5,4
