"qus","group","stack","value"
"Q1","x","a","0.765"
"Q1","y","c","0.268"
"Q1","z","c","1.053"
"Q1","x","b","2.56"
"Q1","y","a","1.27"
"Q1","z","b","1.001"
"Q1","x","c","2.56"
"Q1","y","b","1.27"
"Q1","z","a","1.001"
"Q2","x","a","0.686"
"Q2","y","a","1.153"
"Q2","z","a","0.366"
"Q2","x","b","0.078"
"Q2","y","b","1.654"
"Q2","z","b","2.458"
"Q2","x","c","0.078"
"Q2","y","c","1.654"
"Q2","z","c","2.458"
"Q3","x","a","0.308"
"Q3","y","c","0.245"
"Q3","z","b","0.163"
"Q3","x","b","0.01"
"Q3","y","b","1.185"
"Q3","z","c","0.082"
"Q3","x","c","0.01"
"Q3","y","a","1.185"
"Q3","z","a","0.082"
"Q4","x","a","0.215"
"Q4","y","c","0.995"
"Q4","z","c","0.275"
"Q4","x","b","1.329"
"Q4","y","b","1.056"
"Q4","z","b","0.194"
"Q4","x","c","1.329"
"Q4","y","a","1.056"
"Q4","z","a","0.194"
"Q5","x","a","0.605"
"Q5","y","c","0.304"
"Q5","z","a","1.125"
"Q5","x","b","0.706"
"Q5","y","a","1.233"
"Q5","z","b","0.001"
"Q5","x","c","0.706"
"Q5","y","b","1.233"
"Q5","z","c","0.001"
