"Qus","Species","Petal.Length.Bin","Sepal.Length","label_y"
"q1","setosa","[1,2]","5.006","5.006"
"q1","versicolor","(3,4]","5.51333333333333","5.51333333333333"
"q1","versicolor","(5,6]","6","11.5133333333333"
"q1","versicolor","(2,3]","5.1","16.6133333333333"
"q1","versicolor","(4,5]","6.15151515151515","22.7648484848485"
"q1","virginica","(6,7]","7.57777777777778","7.57777777777778"
"q1","virginica","(5,6]","6.503125","14.0809027777778"
"q1","virginica","(4,5]","5.9","19.9809027777778"
"q2","setosa","[1,2]","5.006","5.006"
"q2","versicolor","(3,4]","5.51333333333333","5.51333333333333"
"q2","versicolor","(5,6]","6","11.5133333333333"
"q2","versicolor","(2,3]","5.1","16.6133333333333"
"q2","versicolor","(4,5]","6.15151515151515","22.7648484848485"
"q2","virginica","(6,7]","7.57777777777778","7.57777777777778"
"q2","virginica","(5,6]","6.503125","14.0809027777778"
"q2","virginica","(4,5]","5.9","19.9809027777778"
