grp,id,params,role,conditions,score
1,1,Mental,VR,C1,60
,1,Physical,VR,C1,35
,1,Temporal,VR,C1,65
,1,Performance,VR,C1,35
,1,Effort,VR,C1,25
,1,Frustration,VR,C1,35
,1,Overall,VR,C1,47.5
,2,Mental,AR,C1,25
,2,Physical,AR,C1,55
,2,Temporal,AR,C1,55
,2,Performance,AR,C1,65
,2,Effort,AR,C1,35
,2,Frustration,AR,C1,35
,2,Overall,AR,C1,43
,3,Mental,VR,C1,50
,3,Physical,VR,C1,55
,3,Temporal,VR,C1,55
,3,Performance,VR,C1,35
,3,Effort,VR,C1,65
,3,Frustration,VR,C1,35
,3,Overall,VR,C1,50.5
,4,Mental,AR,C1,55
,4,Physical,AR,C1,75
,4,Temporal,AR,C1,65
,4,Performance,AR,C1,70
,4,Effort,AR,C1,45
,4,Frustration,AR,C1,25
,4,Overall,AR,C1,58.5
,1,Mental,VR,C2,25
,1,Physical,VR,C2,55
,1,Temporal,VR,C2,50
,1,Performance,VR,C2,55
,1,Effort,VR,C2,25
,1,Frustration,VR,C2,45
,1,Overall,VR,C2,41
,2,Mental,AR,C2,20
,2,Physical,AR,C2,45
,2,Temporal,AR,C2,30
,2,Performance,AR,C2,40
,2,Effort,AR,C2,45
,2,Frustration,AR,C2,35
,2,Overall,AR,C2,33
,3,Mental,VR,C2,40
,3,Physical,VR,C2,35
,3,Temporal,VR,C2,75
,3,Performance,VR,C2,75
,3,Effort,VR,C2,45
,3,Frustration,VR,C2,35
,3,Overall,VR,C2,49.5
,4,Mental,AR,C2,20
,4,Physical,AR,C2,35
,4,Temporal,AR,C2,20
,4,Performance,AR,C2,45
,4,Effort,AR,C2,40
,4,Frustration,AR,C2,25
,4,Overall,AR,C2,28
,1,Mental,VR,C3,15
,1,Physical,VR,C3,35
,1,Temporal,VR,C3,30
,1,Performance,VR,C3,15
,1,Effort,VR,C3,35
,1,Frustration,VR,C3,35
,1,Overall,VR,C3,26
,2,Mental,AR,C3,55
,2,Physical,AR,C3,20
,2,Temporal,AR,C3,30
,2,Performance,AR,C3,20
,2,Effort,AR,C3,30
,2,Frustration,AR,C3,10
,2,Overall,AR,C3,32.5
,3,Mental,VR,C3,55
,3,Physical,VR,C3,10
,3,Temporal,VR,C3,35
,3,Performance,VR,C3,35
,3,Effort,VR,C3,10
,3,Frustration,VR,C3,45
,3,Overall,VR,C3,34.5
,4,Mental,AR,C3,15
,4,Physical,AR,C3,25
,4,Temporal,AR,C3,20
,4,Performance,AR,C3,30
,4,Effort,AR,C3,10
,4,Frustration,AR,C3,25
,4,Overall,AR,C3,20
2,5,Mental,VR,C1,35
,5,Physical,VR,C1,35
,5,Temporal,VR,C1,75
,5,Performance,VR,C1,35
,5,Effort,VR,C1,60
,5,Frustration,VR,C1,40
,5,Overall,VR,C1,46
,6,Mental,AR,C1,50
,6,Physical,AR,C1,35
,6,Temporal,AR,C1,45
,6,Performance,AR,C1,80
,6,Effort,AR,C1,55
,6,Frustration,AR,C1,45
,6,Overall,AR,C1,49
,7,Mental,VR,C1,70
,7,Physical,VR,C1,75
,7,Temporal,VR,C1,70
,7,Performance,VR,C1,75
,7,Effort,VR,C1,70
,7,Frustration,VR,C1,65
,7,Overall,VR,C1,71
,8,Mental,AR,C1,45
,8,Physical,AR,C1,40
,8,Temporal,AR,C1,60
,8,Performance,AR,C1,20
,8,Effort,AR,C1,50
,8,Frustration,AR,C1,55
,8,Overall,AR,C1,46
,5,Mental,VR,C2,25
,5,Physical,VR,C2,35
,5,Temporal,VR,C2,20
,5,Performance,VR,C2,45
,5,Effort,VR,C2,25
,5,Frustration,VR,C2,55
,5,Overall,VR,C2,31
,6,Mental,AR,C2,40
,6,Physical,AR,C2,35
,6,Temporal,AR,C2,25
,6,Performance,AR,C2,50
,6,Effort,AR,C2,30
,6,Frustration,AR,C2,30
,6,Overall,AR,C2,35
,7,Mental,VR,C2,15
,7,Physical,VR,C2,25
,7,Temporal,VR,C2,15
,7,Performance,VR,C2,40
,7,Effort,VR,C2,35
,7,Frustration,VR,C2,20
,7,Overall,VR,C2,22
,8,Mental,AR,C2,45
,8,Physical,AR,C2,45
,8,Temporal,AR,C2,10
,8,Performance,AR,C2,35
,8,Effort,AR,C2,35
,8,Frustration,AR,C2,45
,8,Overall,AR,C2,36
,5,Mental,VR,C3,25
,5,Physical,VR,C3,35
,5,Temporal,VR,C3,20
,5,Performance,VR,C3,30
,5,Effort,VR,C3,10
,5,Frustration,VR,C3,15
,5,Overall,VR,C3,24
,6,Mental,AR,C3,20
,6,Physical,AR,C3,35
,6,Temporal,AR,C3,10
,6,Performance,AR,C3,35
,6,Effort,AR,C3,20
,6,Frustration,AR,C3,35
,6,Overall,AR,C3,24
,7,Mental,VR,C3,30
,7,Physical,VR,C3,20
,7,Temporal,VR,C3,15
,7,Performance,VR,C3,20
,7,Effort,VR,C3,20
,7,Frustration,VR,C3,15
,7,Overall,VR,C3,21.5
,8,Mental,AR,C3,25
,8,Physical,AR,C3,10
,8,Temporal,AR,C3,25
,8,Performance,AR,C3,20
,8,Effort,AR,C3,10
,8,Frustration,AR,C3,25
,8,Overall,AR,C3,20
3,9,Mental,VR,C1,25
,9,Physical,VR,C1,65
,9,Temporal,VR,C1,45
,9,Performance,VR,C1,50
,9,Effort,VR,C1,70
,9,Frustration,VR,C1,65
,9,Overall,VR,C1,48
,10,Mental,AR,C1,70
,10,Physical,AR,C1,55
,10,Temporal,AR,C1,30
,10,Performance,AR,C1,10
,10,Effort,AR,C1,45
,10,Frustration,AR,C1,60
,10,Overall,AR,C1,49.5
,11,Mental,VR,C1,45
,11,Physical,VR,C1,35
,11,Temporal,VR,C1,35
,11,Performance,VR,C1,45
,11,Effort,VR,C1,40
,11,Frustration,VR,C1,55
,11,Overall,VR,C1,41.5
,12,Mental,AR,C1,65
,12,Physical,AR,C1,45
,12,Temporal,AR,C1,70
,12,Performance,AR,C1,65
,12,Effort,AR,C1,35
,12,Frustration,AR,C1,25
,12,Overall,AR,C1,55
,9,Mental,VR,C2,25
,9,Physical,VR,C2,25
,9,Temporal,VR,C2,20
,9,Performance,VR,C2,35
,9,Effort,VR,C2,25
,9,Frustration,VR,C2,30
,9,Overall,VR,C2,25.5
,10,Mental,AR,C2,55
,10,Physical,AR,C2,40
,10,Temporal,AR,C2,35
,10,Performance,AR,C2,35
,10,Effort,AR,C2,45
,10,Frustration,AR,C2,35
,10,Overall,AR,C2,43
,11,Mental,VR,C2,45
,11,Physical,VR,C2,20
,11,Temporal,VR,C2,25
,11,Performance,VR,C2,55
,11,Effort,VR,C2,45
,11,Frustration,VR,C2,20
,11,Overall,VR,C2,34.5
,12,Mental,AR,C2,20
,12,Physical,AR,C2,35
,12,Temporal,AR,C2,75
,12,Performance,AR,C2,15
,12,Effort,AR,C2,55
,12,Frustration,AR,C2,25
,12,Overall,AR,C2,37.5
,9,Mental,VR,C3,25
,9,Physical,VR,C3,20
,9,Temporal,VR,C3,20
,9,Performance,VR,C3,25
,9,Effort,VR,C3,25
,9,Frustration,VR,C3,20
,9,Overall,VR,C3,22.5
,10,Mental,AR,C3,20
,10,Physical,AR,C3,55
,10,Temporal,AR,C3,20
,10,Performance,AR,C3,15
,10,Effort,AR,C3,20
,10,Frustration,AR,C3,35
,10,Overall,AR,C3,28
,11,Mental,VR,C3,50
,11,Physical,VR,C3,25
,11,Temporal,VR,C3,25
,11,Performance,VR,C3,35
,11,Effort,VR,C3,15
,11,Frustration,VR,C3,20
,11,Overall,VR,C3,32
,12,Mental,AR,C3,10
,12,Physical,AR,C3,35
,12,Temporal,AR,C3,20
,12,Performance,AR,C3,15
,12,Effort,AR,C3,25
