group,user,role,conditions,Q1. Would use system frequently?,Q2. System unnecessarily complex?,Q3. System easy to use?,Q4. Need technical support?,Q5. Functions well integrated?,Q6. System inconsistent?,Q7. Quick to learn system?,Q8. System cumbersome to use?,Q9. Confident using system?,Q10. Steep learning curve?,sus_score,mean,median,std
1,1,VR,C1,5,4,5,3,4,3,3,3,3,3,60,74.24,73.75,12.48
,2,VR,C1,3,3,3,3,3,3,4,3,4,3,55,,,
,3,AR,C1,3,3,3,3,3,3,4,3,4,3,55,mean_vr,median_vr,std_vr
,4,AR,C1,4,3,4,2,5,4,3,2,3,2,65,73.13,73.75,12.96
,1,VR,C2,5,3,5,1,4,2,4,1,4,1,85,,,
,2,VR,C2,5,3,4,3,5,3,4,3,4,3,67.5,mean_ar,median_ar,std_ar
,3,AR,C2,3,2,5,2,5,2,3,2,4,2,75,76.46,76.25,11.65
,4,AR,C2,3,2,5,2,5,2,3,2,4,2,75,,,
,1,VR,C3,5,3,5,2,5,1,3,2,3,1,80,80,TRUE,
,2,VR,C3,5,1,4,1,5,2,5,2,5,1,92.5,92.5,TRUE,
,3,AR,C3,4,2,4,2,5,2,5,1,5,1,87.5,87.5,TRUE,
,4,AR,C3,4,3,4,2,4,3,5,2,5,2,75,75,TRUE,
2,1,VR,C1,5,3,5,3,4,3,4,3,4,3,67.5,,,
,2,VR,C1,4,3,3,2,3,2,3,2,5,2,67.5,,,
,3,AR,C1,5,3,3,3,3,3,4,4,2,4,50,,,
,4,AR,C1,4,4,1,1,4,4,1,1,1,1,50,,,
,1,VR,C2,4,2,2,2,4,3,4,2,5,2,70,,,
,2,VR,C2,4,2,2,2,4,3,4,2,4,1,70,,,
,3,AR,C2,4,2,5,2,5,2,5,2,5,2,85,,,
,4,AR,C2,4,2,2,2,4,3,4,2,5,1,72.5,,,
,1,VR,C3,5,3,4,2,5,3,5,1,5,1,85,85,TRUE,
,2,VR,C3,5,3,4,2,5,3,5,1,5,1,85,85,TRUE,
