grp,id,params,role,conditions,score
1,1,Mental,VR,C1,60
,,Physical,VR,C1,35
,,Temporal,VR,C1,65
,,Performance,VR,C1,35
,,Effort,VR,C1,25
,,Frustration,VR,C1,35
,,Overall,VR,C1,47.5
,2,Mental,AR,C1,25
,,Physical,AR,C1,55
,,Temporal,AR,C1,55
,,Performance,AR,C1,65
,,Effort,AR,C1,35
,,Frustration,AR,C1,35
,,Overall,AR,C1,43
,3,Mental,VR,C1,50
,,Physical,VR,C1,55
,,Temporal,VR,C1,55
,,Performance,VR,C1,35
,,Effort,VR,C1,65
,,Frustration,VR,C1,35
,,Overall,VR,C1,50.5
,4,Mental,AR,C1,55
,,Physical,AR,C1,75
,,Temporal,AR,C1,65
,,Performance,AR,C1,70
,,Effort,AR,C1,45
,,Frustration,AR,C1,25
,,Overall,AR,C1,58.5
,1,Mental,VR,C2,25
,,Physical,VR,C2,55
,,Temporal,VR,C2,50
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,45
,,Overall,VR,C2,39
,2,Mental,AR,C2,20
,,Physical,AR,C2,45
,,Temporal,AR,C2,30
,,Performance,AR,C2,10
,,Effort,AR,C2,45
,,Frustration,AR,C2,35
,,Overall,AR,C2,30
,3,Mental,VR,C2,40
,,Physical,VR,C2,35
,,Temporal,VR,C2,75
,,Performance,VR,C2,35
,,Effort,VR,C2,45
,,Frustration,VR,C2,35
,,Overall,VR,C2,45.5
,4,Mental,AR,C2,20
,,Physical,AR,C2,35
,,Temporal,AR,C2,20
,,Performance,AR,C2,20
,,Effort,AR,C2,40
,,Frustration,AR,C2,25
,,Overall,AR,C2,25.5
,1,Mental,VR,C3,25
,,Physical,VR,C3,35
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,35
,,Frustration,VR,C3,35
,,Overall,VR,C3,30
,2,Mental,AR,C3,55
,,Physical,AR,C3,20
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,30
,,Frustration,AR,C3,10
,,Overall,AR,C3,31.5
,3,Mental,VR,C3,55
,,Physical,VR,C3,10
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,10
,,Frustration,VR,C3,45
,,Overall,VR,C3,32.5
,4,Mental,AR,C3,15
,,Physical,AR,C3,25
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,10
,,Frustration,AR,C3,25
,,Overall,AR,C3,19
2,1,Mental,VR,C1,35
,,Physical,VR,C1,35
,,Temporal,VR,C1,75
,,Performance,VR,C1,35
,,Effort,VR,C1,60
,,Frustration,VR,C1,40
,,Overall,VR,C1,46
,2,Mental,AR,C1,50
,,Physical,AR,C1,35
,,Temporal,AR,C1,45
,,Performance,AR,C1,80
,,Effort,AR,C1,55
,,Frustration,AR,C1,45
,,Overall,AR,C1,49
,3,Mental,VR,C1,70
,,Physical,VR,C1,75
,,Temporal,VR,C1,70
,,Performance,VR,C1,75
,,Effort,VR,C1,70
,,Frustration,VR,C1,65
,,Overall,VR,C1,71
,4,Mental,AR,C1,45
,,Physical,AR,C1,40
,,Temporal,AR,C1,60
,,Performance,AR,C1,20
,,Effort,AR,C1,50
,,Frustration,AR,C1,55
,,Overall,AR,C1,46
,1,Mental,VR,C2,25
,,Physical,VR,C2,35
,,Temporal,VR,C2,20
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,55
,,Overall,VR,C2,30
,2,Mental,AR,C2,40
,,Physical,AR,C2,35
,,Temporal,AR,C2,25
,,Performance,AR,C2,10
,,Effort,AR,C2,30
,,Frustration,AR,C2,30
,,Overall,AR,C2,31
,3,Mental,VR,C2,15
,,Physical,VR,C2,25
,,Temporal,VR,C2,15
,,Performance,VR,C2,35
,,Effort,VR,C2,35
,,Frustration,VR,C2,20
,,Overall,VR,C2,21.5
,4,Mental,AR,C2,45
,,Physical,AR,C2,45
,,Temporal,AR,C2,10
,,Performance,AR,C2,20
,,Effort,AR,C2,35
,,Frustration,AR,C2,45
,,Overall,AR,C2,34.5
,1,Mental,VR,C3,25
,,Physical,VR,C3,35
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,10
,,Frustration,VR,C3,15
,,Overall,VR,C3,25.5
,2,Mental,AR,C3,20
,,Physical,AR,C3,35
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,20
,,Frustration,AR,C3,35
,,Overall,AR,C3,25.5
,3,Mental,VR,C3,20
,,Physical,VR,C3,20
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,20
,,Frustration,VR,C3,15
,,Overall,VR,C3,22
,4,Mental,AR,C3,25
,,Physical,AR,C3,10
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,10
,,Frustration,AR,C3,25
,,Overall,AR,C3,19
3,1,Mental,VR,C1,25
,,Physical,VR,C1,65
,,Temporal,VR,C1,45
,,Performance,VR,C1,50
,,Effort,VR,C1,70
,,Frustration,VR,C1,65
,,Overall,VR,C1,48
,2,Mental,AR,C1,70
,,Physical,AR,C1,55
,,Temporal,AR,C1,30
,,Performance,AR,C1,10
,,Effort,AR,C1,45
,,Frustration,AR,C1,60
,,Overall,AR,C1,49.5
,3,Mental,VR,C1,45
,,Physical,VR,C1,35
,,Temporal,VR,C1,35
,,Performance,VR,C1,45
,,Effort,VR,C1,40
,,Frustration,VR,C1,55
,,Overall,VR,C1,41.5
,4,Mental,AR,C1,65
,,Physical,AR,C1,45
,,Temporal,AR,C1,70
,,Performance,AR,C1,65
,,Effort,AR,C1,35
