group,conditions,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,,,t1,,t2,,t3,,t4,,,,
1,NS,415,478,375,485,234,321,133,311,181,157,242,174,,NS,422.11,68.72,431.67,68.43,422.56,67.51,426.00,49.83,425.58,63.62,7.09
2,NS,541,453,479,375,212,211,234,243,329,242,245,132,,MS,407.00,49.68,410.56,49.52,409.22,46.39,411.33,36.21,409.53,45.45,6.83
3,NS,466,490,516,427,211,171,137,123,255,319,379,304,,GS,346.67,37.03,348.89,49.41,346.22,43.15,346.33,37.03,347.03,41.65,5.78
4,NS,410,402,468,480,116,176,239,203,294,226,229,277,,AS,394.78,48.26,393.22,54.72,386.89,57.58,392.00,58.28,391.72,54.71,6.53
5,NS,385,527,441,493,194,182,125,121,191,345,316,372,,,,,,,,,,,,,
6,NS,480,362,333,444,156,127,124,197,324,235,209,247,,,,,,,,,,,,,
7,NS,454,367,451,348,218,102,176,142,236,265,275,206,,,,,,,,,,,,,
8,NS,349,491,299,391,112,90,115,108,237,401,184,283,,,,,,,,,,,,,
9,NS,299,315,441,391,163,138,147,119,136,177,294,272,,,,,,,,,,,,,
1,MS,411,420,402,366,144,228,206,151,267,192,196,215,,,,,,,,,,,,,
2,MS,471,354,349,479,213,230,181,118,258,124,168,361,,,,,,,,,,,,,
3,MS,393,401,367,384,198,240,206,206,195,161,161,178,,,,,,,,,,,,,
4,MS,405,451,499,460,190,113,206,219,215,338,293,241,,,,,,,,,,,,,
5,MS,494,526,366,400,223,106,142,190,271,420,224,210,,,,,,,,,,,,,
6,MS,315,361,405,433,218,186,231,155,97,175,174,278,,,,,,,,,,,,,
7,MS,387,400,414,411,95,234,179,192,292,166,235,219,,,,,,,,,,,,,
8,MS,370,377,472,387,109,97,90,195,261,280,382,192,,,,,,,,,,,,,
9,MS,417,405,409,382,112,97,189,101,305,308,220,281,,,,,,,,,,,,,
1,GS,375,350,273,283,197,183,230,164,178,167,43,119,,,,,,,,,,,,,
2,GS,377,407,342,279,224,150,131,212,153,257,211,67,,,,,,,,,,,,,
3,GS,365,323,349,367,104,200,209,234,261,123,140,133,,,,,,,,,,,,,
4,GS,281,298,358,378,131,171,180,210,150,127,178,168,,,,,,,,,,,,,
5,GS,339,297,374,371,236,122,124,117,103,175,250,254,,,,,,,,,,,,,
6,GS,297,305,401,356,180,173,133,156,117,132,268,200,,,,,,,,,,,,,
7,GS,321,322,342,349,115,154,188,193,206,168,154,156,,,,,,,,,,,,,
8,GS,372,428,278,347,130,242,99,140,242,186,179,207,,,,,,,,,,,,,
9,GS,393,410,399,387,105,162,150,226,288,248,249,161,,,,,,,,,,,,,
1,AS,421,394,468,416,230,209,234,235,191,185,234,181,,,,,,,,,,,,,
2,AS,433,271,310,462,215,231,237,117,218,40,73,345,,,,,,,,,,,,,
3,AS,332,456,429,310,137,215,225,136,195,241,204,174,,,,,,,,,,,,,
4,AS,399,388,381,398,165,163,100,129,234,225,281,269,,,,,,,,,,,,,
5,AS,368,366,331,291,104,98,114,217,264,268,217,74,,,,,,,,,,,,,
6,AS,492,456,314,376,216,228,205,190,276,228,109,186,,,,,,,,,,,,,
7,AS,350,382,470,378,139,92,203,192,211,290,267,186,,,,,,,,,,,,,
8,AS,346,378,399,423,181,194,130,141,165,184,269,282,,,,,,,,,,,,,
9,AS,412,448,380,474,92,231,102,221,320,217,278,253,,,,,,,,,,,,,
