"grp","id","params","role","X","x1","x2","x3","x4","x5","conditions","scores"
NA,NA,"Overall","VR",NA,"Overall",44.26,43.02,33.94,41.61,"NS",45.5
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",30
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",44
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",48
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",45
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",47.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",57.5
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",42.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",61
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",37
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",54.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",56
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",53.5
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",17.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",60.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",29.5
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",46
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",51.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",40.5
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",38
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",36.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",38.5
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",51
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",28
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",43
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"NS",31.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"NS",61
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",45.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",30
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",44
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",48
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",45
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",47.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",57.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",42.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",61
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",37
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",54.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",56
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",53.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",17.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",60.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",29.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",46
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",51.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",40.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",38
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",36.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",38.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",51
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",28
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",43
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",31.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"NS",61
NA,NA,"Overall","VR",NA,"Overall",44.26,43.02,33.94,41.61,"MS",57
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",46.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",37.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",44
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",30
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",67
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",46
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",25.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",49
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",37.5
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",55
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",56.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",38
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",27.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",30
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",44
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",43
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",50
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",45
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",43
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",38
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",28
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",50
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",36.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",49
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"MS",25
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"MS",63
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",57
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",46.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",37.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",44
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",30
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",67
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",46
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",25.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",49
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",37.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",55
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",56.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",38
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",27.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",30
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",44
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",43
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",50
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",45
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",43
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",38
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",28
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",50
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",36.5
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",49
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",25
NA,NA,"Overall",NA,NA,"",NA,NA,NA,NA,"MS",63
NA,NA,"Overall","VR",NA,"Overall",44.26,43.02,33.94,41.61,"GS",27
NA,NA,"Overall","AR",NA,"",NA,NA,NA,NA,"GS",28
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"GS",33.5
NA,NA,"Overall","VR",NA,"",NA,NA,NA,NA,"GS",24
