grp,id,params,vrar,conditions,score
1,1,Co-presence,VR,C1,3
,,Co-presence,VR,C1,3
,,Co-presence,VR,C1,5
,,Co-presence,VR,C1,3
,,Mutual Attention,VR,C1,4
,,Mutual Attention,VR,C1,1
,,Mutual Attention,VR,C1,5
,,Mutual Understanding,VR,C1,3
,,Mutual Understanding,VR,C1,1
,,Behaviroal Engagement,VR,C1,1
,,Behaviroal Engagement,VR,C1,3
,2,Co-presence,AR,C1,2
,,Co-presence,AR,C1,3
,,Co-presence,AR,C1,3
,,Co-presence,AR,C1,1
,,Mutual Attention,AR,C1,4
,,Mutual Attention,AR,C1,4
,,Mutual Attention,AR,C1,4
,,Mutual Understanding,AR,C1,5
,,Mutual Understanding,AR,C1,3
,,Behaviroal Engagement,AR,C1,5
,,Behaviroal Engagement,AR,C1,3
,3,Co-presence,VR,C1,1
,,Co-presence,VR,C1,5
,,Co-presence,VR,C1,3
,,Co-presence,VR,C1,1
,,Mutual Attention,VR,C1,3
,,Mutual Attention,VR,C1,3
,,Mutual Attention,VR,C1,1
,,Mutual Understanding,VR,C1,5
,,Mutual Understanding,VR,C1,3
,,Behaviroal Engagement,VR,C1,3
,,Behaviroal Engagement,VR,C1,3
,1,Co-presence,VR,C2,5
,,Co-presence,VR,C2,2
,,Co-presence,VR,C2,4
,,Co-presence,VR,C2,3
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,3
,,Mutual Attention,VR,C2,6
,,Mutual Understanding,VR,C2,2
,,Mutual Understanding,VR,C2,4
,,Behaviroal Engagement,VR,C2,3
,,Behaviroal Engagement,VR,C2,4
,2,Co-presence,AR,C2,5
,,Co-presence,AR,C2,7
,,Co-presence,AR,C2,5
,,Co-presence,AR,C2,2
,,Mutual Attention,AR,C2,2
,,Mutual Attention,AR,C2,7
,,Mutual Attention,AR,C2,4
,,Mutual Understanding,AR,C2,5
,,Mutual Understanding,AR,C2,3
,,Behaviroal Engagement,AR,C2,5
,,Behaviroal Engagement,AR,C2,6
,3,Co-presence,VR,C2,3
,,Co-presence,VR,C2,2
,,Co-presence,VR,C2,3
,,Co-presence,VR,C2,2
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,4
,,Mutual Attention,VR,C2,2
,,Mutual Understanding,VR,C2,7
,,Mutual Understanding,VR,C2,3
,,Behaviroal Engagement,VR,C2,7
,,Behaviroal Engagement,VR,C2,6
,1,Co-presence,VR,C3,7
,,Co-presence,VR,C3,7
,,Co-presence,VR,C3,5
,,Co-presence,VR,C3,4
,,Mutual Attention,VR,C3,2
,,Mutual Attention,VR,C3,4
,,Mutual Attention,VR,C3,4
,,Mutual Understanding,VR,C3,6
,,Mutual Understanding,VR,C3,3
,,Behaviroal Engagement,VR,C3,3
,,Behaviroal Engagement,VR,C3,2
,2,Co-presence,AR,C3,7
,,Co-presence,AR,C3,3
,,Co-presence,AR,C3,4
,,Co-presence,AR,C3,6
,,Mutual Attention,AR,C3,5
,,Mutual Attention,AR,C3,7
,,Mutual Attention,AR,C3,6
,,Mutual Understanding,AR,C3,2
,,Mutual Understanding,AR,C3,4
,,Behaviroal Engagement,AR,C3,7
,,Behaviroal Engagement,AR,C3,5
,3,Co-presence,VR,C3,4
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,2
,,Co-presence,VR,C3,7
,,Mutual Attention,VR,C3,3
,,Mutual Attention,VR,C3,4
,,Mutual Attention,VR,C3,6
,,Mutual Understanding,VR,C3,6
,,Mutual Understanding,VR,C3,2
,,Behaviroal Engagement,VR,C3,2
,,Behaviroal Engagement,VR,C3,7
,1,Co-presence,VR,C4,7
,,Co-presence,VR,C4,7
,,Co-presence,VR,C4,5
,,Co-presence,VR,C4,4
,,Mutual Attention,VR,C4,2
,,Mutual Attention,VR,C4,4
,,Mutual Attention,VR,C4,4
,,Mutual Understanding,VR,C4,6
,,Mutual Understanding,VR,C4,3
,,Behaviroal Engagement,VR,C4,3
,,Behaviroal Engagement,VR,C4,2
,2,Co-presence,AR,C4,7
,,Co-presence,AR,C4,3
,,Co-presence,AR,C4,4
,,Co-presence,AR,C4,6
,,Mutual Attention,AR,C4,5
,,Mutual Attention,AR,C4,7
,,Mutual Attention,AR,C4,6
,,Mutual Understanding,AR,C4,2
,,Mutual Understanding,AR,C4,4
,,Behaviroal Engagement,AR,C4,7
,,Behaviroal Engagement,AR,C4,5
,3,Co-presence,VR,C4,4
,,Co-presence,VR,C4,6
,,Co-presence,VR,C4,2
,,Co-presence,VR,C4,7
,,Mutual Attention,VR,C4,3
,,Mutual Attention,VR,C4,4
,,Mutual Attention,VR,C4,6
,,Mutual Understanding,VR,C4,6
,,Mutual Understanding,VR,C4,2
,,Behaviroal Engagement,VR,C4,2
,,Behaviroal Engagement,VR,C4,7
