grp,id,params,role,conditions,score
1,1,General Presence,VR,NS,6
,,Spatial Presence,VR,NS,2
,,Spatial Presence,VR,NS,6
,,Spatial Presence,VR,NS,3
,,Spatial Presence,VR,NS,3
,,Spatial Presence,VR,NS,5
,,Involvement,VR,NS,6
,,Involvement,VR,NS,4
,,Realism,VR,NS,5
,,Realism,VR,NS,6
,2,General Presence,AR,NS,7
,,Spatial Presence,AR,NS,6
,,Spatial Presence,AR,NS,5
,,Spatial Presence,AR,NS,5
,,Spatial Presence,AR,NS,3
,,Spatial Presence,AR,NS,6
,,Involvement,AR,NS,6
,,Involvement,AR,NS,6
,,Realism,AR,NS,3
,,Realism,AR,NS,4
,3,General Presence,VR,NS,4
,,Spatial Presence,VR,NS,5
,,Spatial Presence,VR,NS,6
,,Spatial Presence,VR,NS,3
,,Spatial Presence,VR,NS,7
,,Spatial Presence,VR,NS,3
,,Involvement,VR,NS,4
,,Involvement,VR,NS,4
,,Realism,VR,NS,6
,,Realism,VR,NS,7
,1,General Presence,VR,MS,6
,,Spatial Presence,VR,MS,6
,,Spatial Presence,VR,MS,4
,,Spatial Presence,VR,MS,5
,,Spatial Presence,VR,MS,6
,,Spatial Presence,VR,MS,4
,,Involvement,VR,MS,3
,,Involvement,VR,MS,2
,,Realism,VR,MS,3
,,Realism,VR,MS,4
,2,General Presence,AR,MS,4
,,Spatial Presence,AR,MS,6
,,Spatial Presence,AR,MS,3
,,Spatial Presence,AR,MS,6
,,Spatial Presence,AR,MS,5
,,Spatial Presence,AR,MS,3
,,Involvement,AR,MS,4
,,Involvement,AR,MS,3
,,Realism,AR,MS,3
,,Realism,AR,MS,5
,3,General Presence,VR,MS,3
,,Spatial Presence,VR,MS,3
,,Spatial Presence,VR,MS,3
,,Spatial Presence,VR,MS,4
,,Spatial Presence,VR,MS,6
,,Spatial Presence,VR,MS,5
,,Involvement,VR,MS,4
,,Involvement,VR,MS,3
,,Realism,VR,MS,5
,,Realism,VR,MS,4
,1,General Presence,VR,GS,5
,,Spatial Presence,VR,GS,7
,,Spatial Presence,VR,GS,5
,,Spatial Presence,VR,GS,7
,,Spatial Presence,VR,GS,5
,,Spatial Presence,VR,GS,2
,,Involvement,VR,GS,5
,,Involvement,VR,GS,3
,,Realism,VR,GS,7
,,Realism,VR,GS,2
,2,General Presence,AR,GS,7
,,Spatial Presence,AR,GS,7
,,Spatial Presence,AR,GS,6
,,Spatial Presence,AR,GS,2
,,Spatial Presence,AR,GS,3
,,Spatial Presence,AR,GS,5
,,Involvement,AR,GS,7
,,Involvement,AR,GS,7
,,Realism,AR,GS,6
