group,participant,role,conditions,sus_score,,,,,,,,,,
1,1,VR,NS,82.5,2,5,2,5,3,4,1,5,3,5
1,2,AR,NS,70,2,5,3,5,5,5,4,3,1,5
1,3,VR,NS,60,2,4,4,2,4,3,2,4,2,5
1,1,VR,MS,52.5,4,3,3,4,3,5,4,4,5,4
1,2,AR,MS,30,5,1,5,4,4,4,5,2,3,3
1,3,VR,MS,67.5,2,4,2,3,3,3,2,5,3,4
1,1,VR,GS,85,1,4,1,4,2,4,1,3,1,5
1,2,AR,GS,70,2,5,3,3,2,2,1,4,2,4
1,3,VR,GS,92.5,1,4,1,5,1,5,1,5,1,3
1,1,VR,AS,72.5,2,3,4,4,1,5,2,3,2,5
1,2,AR,AS,82.5,2,4,2,4,1,5,3,5,1,4
1,3,VR,AS,12.5,5,2,5,1,5,2,3,2,5,1
2,4,VR,NS,80,3,5,2,5,3,5,2,5,3,5
2,5,AR,NS,32.5,4,5,4,3,5,2,4,3,5,2
2,6,VR,NS,25,5,4,5,3,4,2,5,3,4,1
2,4,VR,MS,82.5,1,4,2,5,2,4,3,4,1,5
2,5,AR,MS,95,1,5,2,5,1,5,1,5,2,5
2,6,VR,MS,90,1,5,2,5,3,5,1,5,2,5
2,4,VR,GS,77.5,2,4,2,3,3,5,2,5,1,4
2,5,AR,GS,82.5,2,4,1,4,1,4,1,5,3,4
2,6,VR,GS,77.5,1,5,1,5,3,4,2,3,1,2
2,4,VR,AS,97.5,1,5,1,5,1,4,1,5,1,5
2,5,AR,AS,85,2,5,3,5,2,5,2,5,2,5
2,6,VR,AS,57.5,3,5,3,2,1,2,2,3,3,3
3,7,VR,NS,85,2,4,1,5,1,5,2,4,2,4
3,8,AR,NS,37.5,5,1,4,3,1,2,3,3,3,2
3,9,VR,NS,85,3,5,2,5,1,5,2,5,3,5
3,7,VR,MS,82.5,1,5,2,5,2,5,2,3,3,5
3,8,AR,MS,85,1,5,2,5,3,5,2,5,2,4
3,9,VR,MS,75,1,4,4,5,2,5,2,4,3,4
3,7,VR,GS,85,1,5,2,5,3,5,2,4,2,5
3,8,AR,GS,85,1,4,2,5,2,5,2,5,3,5
3,9,VR,GS,92.5,1,3,1,5,2,5,1,5,1,5
3,7,VR,AS,30,5,1,4,1,4,1,3,3,2,4
3,8,AR,AS,27.5,5,2,5,3,3,2,4,2,3,2
3,9,VR,AS,35,5,1,4,2,4,2,2,3,3,4
4,10,VR,NS,75,2,5,3,3,1,4,2,4,3,5
4,11,AR,NS,72.5,3,4,3,4,1,5,3,4,3,5
4,12,VR,NS,77.5,2,4,3,4,2,5,2,5,3,5
4,10,VR,MS,30,5,1,5,2,1,2,4,3,3,2
4,11,AR,MS,37.5,5,1,4,1,1,2,2,5,5,3
4,12,VR,MS,47.5,2,1,4,3,1,2,2,3,3,2
4,10,VR,GS,95,1,5,1,4,1,5,2,5,1,5
4,11,AR,GS,82.5,2,4,1,5,1,4,2,5,3,4
4,12,VR,GS,92.5,1,5,1,5,2,5,2,4,1,5
4,10,VR,AS,82.5,2,5,3,4,1,5,2,5,3,5
4,11,AR,AS,42.5,5,3,4,2,1,2,3,4,3,2
4,12,VR,AS,87.5,2,5,1,5,1,5,2,5,3,4
5,13,VR,NS,85,1,5,3,5,2,5,2,4,2,5
5,14,AR,NS,25,4,2,4,1,4,3,4,2,5,3
5,15,VR,NS,77.5,2,5,4,3,1,4,2,5,2,5
5,13,VR,MS,40,5,4,3,3,5,2,2,3,3,2
5,14,AR,MS,42.5,2,2,4,3,1,2,2,2,4,1
5,15,VR,MS,32.5,5,1,4,1,3,3,2,4,4,2
5,13,VR,GS,75,2,3,2,4,1,5,2,5,3,3
5,14,AR,GS,85,1,5,2,4,1,4,2,5,2,4
5,15,VR,GS,30,5,2,4,2,4,3,3,2,3,2
5,13,VR,AS,75,2,4,2,5,1,2,1,3,2,4
5,14,AR,AS,95,1,5,1,5,2,5,2,5,1,5
5,15,VR,AS,45,5,3,4,2,2,3,2,4,3,2
6,16,VR,NS,30,3,4,5,2,3,3,5,2,5,2
6,17,AR,NS,70,2,5,2,2,3,4,2,4,3,5
6,18,VR,NS,65,3,3,4,3,2,5,2,4,3,5
6,16,VR,MS,22.5,5,1,4,3,4,2,5,3,5,3
6,17,AR,MS,20,5,2,5,3,5,2,5,2,3,2
6,18,VR,MS,90,2,5,2,5,1,5,1,4,2,5
6,16,VR,GS,52.5,5,2,3,3,1,2,2,5,3,3
6,17,AR,GS,62.5,3,4,4,3,2,5,2,3,3,4
6,18,VR,GS,40,5,2,4,2,2,3,2,4,3,1
6,16,VR,AS,97.5,1,5,2,5,1,5,1,5,1,5
6,17,AR,AS,47.5,3,2,4,3,2,3,3,4,3,2
6,18,VR,AS,80,2,5,2,4,2,4,2,5,2,4
7,19,VR,NS,82.5,2,4,1,5,2,5,3,4,2,5
7,20,AR,NS,67.5,2,3,1,3,2,2,1,3,2,4
7,21,VR,NS,87.5,1,4,2,5,1,5,2,4,2,5
7,19,VR,MS,62.5,3,4,4,4,3,5,3,3,3,5
7,20,AR,MS,77.5,1,4,3,4,2,4,2,4,2,5
7,21,VR,MS,90,1,5,2,5,1,5,2,5,2,4
7,19,VR,GS,80,2,3,1,5,1,4,2,5,3,4
7,20,AR,GS,47.5,3,1,4,3,2,3,2,3,3,3
7,21,VR,GS,85,1,5,3,5,1,5,2,4,3,5
7,19,VR,AS,35,3,1,5,4,1,2,5,2,5,4
7,20,AR,AS,27.5,5,3,5,2,4,3,4,2,3,2
7,21,VR,AS,35,5,2,5,2,3,5,2,3,5,2
8,22,VR,NS,77.5,2,4,3,5,1,5,2,4,3,4
8,23,AR,NS,60,3,2,3,5,4,4,4,5,3,5
8,24,VR,NS,75,2,5,3,4,3,5,3,4,2,5
8,22,VR,MS,75,2,4,2,4,2,3,2,5,3,5
8,23,AR,MS,97.5,1,5,2,5,1,5,1,5,1,5
8,24,VR,MS,77.5,1,4,1,4,2,5,3,4,3,4
8,22,VR,GS,55,1,3,2,3,5,3,2,2,3,4
8,23,AR,GS,52.5,3,5,1,4,3,4,5,3,5,2
8,24,VR,GS,92.5,1,5,2,4,1,5,2,5,1,5
8,22,VR,AS,97.5,1,5,2,5,1,5,1,5,1,5
8,23,AR,AS,32.5,2,1,4,1,4,4,5,3,4,3
8,24,VR,AS,50,2,2,3,2,4,3,3,4,2,3
9,25,VR,NS,80,1,3,2,5,1,5,2,4,3,4
9,26,AR,NS,65,3,2,3,4,2,4,4,5,2,5
9,27,VR,NS,67.5,2,5,3,4,3,5,3,4,2,2
9,25,VR,MS,75,2,4,2,4,2,3,2,5,3,5
9,26,AR,MS,87.5,1,5,2,5,1,3,1,5,1,3
9,27,VR,MS,77.5,1,4,1,4,2,5,3,4,3,4
