task,tech,time
1,manual,425
1,manual,432
1,manual,422
1,manual,444
2,manual,425
2,manual,423
2,manual,425
3,manual,431
3,manual,420
3,manual,432
4,manual,425
4,manual,435
4,manual,422
5,manual,420
5,manual,421
6,manual,440
6,manual,435
7,manual,431
8,manual,422
8,manual,425
8,manual,427
8,manual,435
1,suggestive,300
1,suggestive,334
2,suggestive,319
2,suggestive,339
2,suggestive,341
2,suggestive,310
3,suggestive,340
3,suggestive,328
3,suggestive,354
3,suggestive,321
4,suggestive,319
4,suggestive,319
4,suggestive,312
5,suggestive,318
5,suggestive,384
6,suggestive,356
6,suggestive,360
7,suggestive,365
7,suggestive,350
8,suggestive,339
8,suggestive,309
1,automatic,368
1,automatic,355
2,automatic,369
3,automatic,378
4,automatic,375
4,automatic,366
5,automatic,359
5,automatic,367
5,automatic,356
5,automatic,374
6,automatic,369
6,automatic,366
6,automatic,389
6,automatic,400
7,automatic,399
7,automatic,351
7,automatic,360
7,automatic,399
7,automatic,370
8,automatic,388
8,automatic,394
