id,params,mode,score
1,local user,manual,54
,remote user,manual,40
2,local user,suggestive,85
,remote user,suggestive,73
3,local user,automatic,30
,remote user,automatic,79
4,local user,manual,44
,remote user,manual,39
5,local user,suggestive,58
,remote user,suggestive,58
6,local user,automatic,54
,remote user,automatic,67
7,local user,manual,48
,remote user,manual,70
8,local user,suggestive,59
,remote user,suggestive,59
9,local user,automatic,34
,remote user,automatic,83
10,local user,manual,75
,remote user,manual,31
11,local user,suggestive,65
,remote user,suggestive,80
12,local user,automatic,80
,remote user,automatic,59
13,local user,manual,66
,remote user,manual,62
14,local user,suggestive,37
,remote user,suggestive,42
15,local user,automatic,41
,remote user,automatic,81
16,local user,manual,81
,remote user,manual,38
17,local user,suggestive,76
,remote user,suggestive,50
18,local user,automatic,56
,remote user,automatic,49
19,local user,manual,74
,remote user,manual,67
20,local user,suggestive,83
,remote user,suggestive,30
21,local user,automatic,77
,remote user,automatic,51
22,local user,manual,34
,remote user,manual,79
23,local user,suggestive,67
,remote user,suggestive,67
24,local user,automatic,38
,remote user,automatic,59
